Sample,SNR_dB,Source_Wav,Output_Wav,RMS_Source_Wav,Original_Source_Sample_Rate,Sample_Rate,Reference_Sample_Rate,Was_Resampled,Target_Noisy_Observation_RMS,Scaled_RMS_After_Read,RMS_Error_After_Read
FEDW0_SX364,5.0,wavs/FEDW0_SX364.wav,wavs_scaled_to_noisy_observation_rms/snr5/FEDW0_SX364.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/FEDW0_SX364/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.0826478880513127,0.08263097830211229,1.6909749200419433e-05
FJEM0_SI634,5.0,wavs/FJEM0_SI634.wav,wavs_scaled_to_noisy_observation_rms/snr5/FJEM0_SI634.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/FJEM0_SI634/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.08555030871682512,0.08555031341583588,4.6990107638311684e-09
FJSA0_SI749,5.0,wavs/FJSA0_SI749.wav,wavs_scaled_to_noisy_observation_rms/snr5/FJSA0_SI749.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/FJSA0_SI749/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.08301761514495855,0.08296309350271235,5.4521642246202484e-05
FRAM1_SI522,5.0,wavs/FRAM1_SI522.wav,wavs_scaled_to_noisy_observation_rms/snr5/FRAM1_SI522.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/FRAM1_SI522/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.08052058741375248,0.08052052743019944,5.998355304126513e-08
FRNG0_SI725,5.0,wavs/FRNG0_SI725.wav,wavs_scaled_to_noisy_observation_rms/snr5/FRNG0_SI725.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/FRNG0_SI725/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.12878227775184725,0.12877874400548192,3.533746365330659e-06
MAHH0_SI1294,5.0,wavs/MAHH0_SI1294.wav,wavs_scaled_to_noisy_observation_rms/snr5/MAHH0_SI1294.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/MAHH0_SI1294/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.1028844404132634,0.10287795060006069,6.489813202711914e-06
MGRT0_SI820,5.0,wavs/MGRT0_SI820.wav,wavs_scaled_to_noisy_observation_rms/snr5/MGRT0_SI820.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/MGRT0_SI820/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.09215050239704506,0.09214822591769518,2.276479349874738e-06
MJJG0_SI1003,5.0,wavs/MJJG0_SI1003.wav,wavs_scaled_to_noisy_observation_rms/snr5/MJJG0_SI1003.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/MJJG0_SI1003/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.09001340066249501,0.09000551224713103,7.888415363976886e-06
MPAB0_SI1103,5.0,wavs/MPAB0_SI1103.wav,wavs_scaled_to_noisy_observation_rms/snr5/MPAB0_SI1103.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/MPAB0_SI1103/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.0936026919371198,0.09359137284339532,1.1319093724482254e-05
MPLB0_SI764,5.0,wavs/MPLB0_SI764.wav,wavs_scaled_to_noisy_observation_rms/snr5/MPLB0_SI764.wav,specsub_raw_audio_20samples_snr30_20_10_5_repeat30_lambda0p2_rho0p2/MPLB0_SI764/snr5/raw_noisy_observation.wav,16000,16000,16000,False,0.09726391077564851,0.09726213173761805,1.7790380304610887e-06
